gameId,gameDuration,team,champion,wins,kills,deaths,assists,longestTimeSpentLiving,largestKillingSpree,largestMultiKill,killingSprees,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageDealtToTurrets,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,turretKills,inhibitorKills
4505214100,1032,red,Diana,False,6,14,14,133,2,2,1,1,0,0,0,0,80408,60380,2616,17411,0,23990,21888,1190,911,3247,0,13,31377,9373,21517,487,10279,9750,46,0,0
4502117424,811,blue,Nunu,False,5,7,29,151,2,1,1,0,0,0,0,0,27226,13867,3381,9976,0,7575,5878,899,796,10240,1120,34,30036,11141,17123,1770,9191,8700,20,1,0
4501008551,934,red,JarvanIV,False,4,11,15,225,2,2,2,2,0,0,0,0,20815,2512,17558,745,0,11788,1527,9573,687,1828,492,23,22934,12133,8791,2008,8679,7900,18,0,0
4500980840,1329,red,Jhin,True,6,10,28,136,3,1,2,0,0,0,0,0,53625,2502,51122,0,1196,19759,1868,17891,0,3397,1004,37,19917,10882,6997,2037,13031,11500,43,1,0
4499634404,1054,red,Volibear,True,8,8,20,171,2,1,2,0,0,0,0,0,33114,18092,13720,1301,0,16572,7296,7974,1301,4735,1470,44,38989,12644,25804,540,11218,9100,11,1,0
4498844251,729,red,Karthus,True,3,5,9,133,0,1,0,0,0,0,0,0,32063,31223,288,551,0,8480,7890,38,551,311,592,16,7022,3141,3621,260,7823,7050,32,0,0
4498747907,986,blue,Skarner,False,1,9,16,223,0,1,0,0,0,0,0,0,15729,3132,11816,780,0,4073,1273,2020,780,756,1389,20,26634,11218,13543,1872,8512,7200,15,1,0
4496776284,1320,red,Warwick,True,14,13,24,134,3,2,3,2,0,0,0,0,63572,18081,43750,1740,0,29125,13183,14391,1550,18714,2865,53,64256,34632,26545,3077,14867,13100,38,1,0
4496694599,944,red,Ahri,False,6,13,7,109,2,2,1,1,0,0,0,0,45036,27283,2610,15142,0,11826,7086,812,3927,3073,238,15,22430,16214,5445,770,9500,8685,38,0,0
4496640243,996,red,MonkeyKing,False,5,13,8,157,0,1,0,0,0,0,0,0,22567,6830,14829,908,0,13977,3590,9664,723,965,0,14,18632,9612,8092,928,9010,8050,15,0,0
4496676742,764,blue,MasterYi,False,9,5,9,331,6,2,2,3,0,0,0,0,25176,5006,18925,1243,349,11315,1238,8855,1220,3511,833,0,12075,5444,5558,1073,9229,8800,27,0,0
4496680575,1151,red,Caitlyn,True,8,12,31,134,2,2,1,1,0,0,0,0,61431,3108,58323,0,1203,19157,1841,17315,0,2715,3878,26,22772,11895,10272,604,12517,11650,42,0,1
4491526394,1408,blue,Lucian,False,15,16,18,146,3,2,3,1,0,0,0,0,75805,5096,70708,0,558,26057,1680,24377,0,2140,1499,1,34359,24624,8685,1050,14394,12610,60,0,0
4491437897,1630,blue,Ahri,True,9,11,34,182,2,1,2,0,0,0,0,0,119619,77474,6060,36085,0,48407,30131,3241,15034,10240,888,52,32577,21835,9456,1284,16777,16250,80,0,1
4491359621,1366,blue,Nunu,False,14,11,24,139,3,1,5,0,0,0,0,0,76720,45989,6412,24318,50,25033,20247,3342,1443,21492,56,63,51172,19699,27622,3850,14460,13470,51,0,0
4491306398,661,red,Janna,True,4,4,23,198,2,2,1,1,0,0,0,0,17041,16016,1025,0,0,5220,4697,523,0,4848,406,39,7515,2075,5440,0,6872,5900,13,0,0
4491258701,1393,red,Soraka,False,4,14,34,129,0,1,0,0,0,0,0,0,28624,26942,1109,572,0,14132,13059,555,517,21728,0,42,25335,12411,11273,1650,11850,11350,11,0,0
4490254335,995,red,MasterYi,True,18,6,10,290,5,5,4,3,3,3,1,0,58971,12070,44085,2814,524,23816,3475,17891,2449,5834,3280,0,19447,9877,8979,590,12549,10600,47,3,0
4490185763,1581,red,MasterYi,False,21,21,16,79,3,3,7,5,2,0,0,0,90111,465,80441,9204,0,40440,229,32193,8016,2910,186,0,44255,27574,15469,1210,17213,16250,48,0,1
4490046404,1721,blue,TwistedFate,True,2,15,35,141,0,1,0,0,0,0,0,0,151878,148897,2980,0,0,34972,33912,1060,0,1460,3134,45,30396,20844,8105,1445,16326,14550,73,1,1
4489633880,1157,red,Rakan,True,4,13,37,107,2,2,1,1,0,0,0,0,23687,19227,3115,1343,0,13071,11115,1099,856,6317,675,53,29478,17996,10354,1127,10874,10050,8,0,1
4484544464,1156,blue,Pyke,False,9,13,10,173,3,2,1,1,0,0,0,0,18044,0,15639,2405,0,11381,0,8976,2405,5746,0,16,24867,16156,7587,1123,11526,11100,9,0,0
4484482511,1589,red,Trundle,True,17,10,25,230,4,2,5,4,0,0,0,0,70910,16535,51218,3156,0,35079,11017,20905,3156,35986,4771,51,80414,40777,37457,2179,17375,13433,50,1,0
4484339071,992,red,Urgot,True,6,10,17,177,0,1,0,0,0,0,0,0,40272,0,39570,702,0,12245,0,11543,702,4127,1907,16,26189,2637,21045,2506,10230,8250,34,1,0
4484385352,930,red,Nocturne,False,6,9,10,265,0,1,0,0,0,0,0,0,21380,223,20286,870,0,9805,223,8711,870,2186,63,93,17081,6752,10251,77,8901,8275,15,0,0
4484312066,1127,blue,Trundle,True,4,6,19,351,2,1,1,0,0,0,0,0,24448,2363,21509,574,0,10652,2363,7714,574,12408,2517,44,29609,14935,11251,3422,10527,9508,18,2,0
4482459081,1546,red,Rammus,False,6,14,25,198,0,1,0,0,0,0,0,0,54224,48831,3996,1396,0,23206,19650,2244,1311,6336,183,62,56070,31821,23412,835,14522,13500,17,0,0
4481999323,1244,blue,Kaisa,True,9,5,32,416,3,2,3,2,0,0,0,0,67682,24712,41072,1897,396,22979,14630,7447,901,5954,887,0,16912,4590,11275,1047,13303,11700,48,0,1
4477939675,1279,red,Lulu,True,3,3,37,514,2,1,1,0,0,0,0,0,24564,18905,1369,4289,0,5822,5290,498,34,3067,1549,30,10448,4293,5857,297,12256,9500,20,0,0
4477784590,1530,red,Jax,False,12,18,16,162,2,2,2,2,0,0,0,0,71378,13529,56174,1674,0,29663,5554,22758,1349,10292,414,21,62623,38017,22930,1675,15323,15083,38,0,0
4477709304,1104,red,Kaisa,False,9,6,24,306,5,1,2,0,0,0,0,0,52679,33089,18855,735,0,23621,19548,3426,645,1757,979,0,13109,5444,7053,611,11276,10610,36,1,0
4477644161,1435,blue,Sivir,False,8,13,31,187,3,2,2,1,0,0,0,0,108262,1940,106322,0,514,22934,886,22048,0,9303,78,0,30998,28743,2231,23,15238,12600,86,0,0
4477343200,1032,red,Yuumi,True,0,5,17,298,0,0,0,0,0,0,0,0,14162,13704,457,0,0,7435,7255,180,0,9032,754,16,7523,4583,2359,579,8824,7700,4,0,0
